"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"NDSN","Nordson Corp","Common stocks","Large cap","Industrials","$13,131,208,746","1.01%","0.00","0.00","0.00","Analyze"
"CBOE","Cboe Global Markets, Inc.","Common stocks","Large cap","Financials","$13,129,790,800","1.57%","0.00","0.00","0.00","Analyze"
"IP","International Paper","Common stocks","Large cap","Materials","$12,875,254,326","5.02%","0.00","0.00","0.00","Analyze"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$12,763,461,535","0.00%","0.00","0.00","0.00","Analyze"
"BIO","Bio Rad Laboratories Inc Class A","Common stocks","Large cap","Health Care","$12,704,937,154","0.00%","0.00","0.00","0.00","Analyze"
"JKHY","Jack Henry & Associates, Inc.","Common stocks","Large cap","Information Technology","$12,677,152,467","1.12%","0.00","0.00","0.00","Analyze"
"TRMB","Trimble Inc","Common stocks","Large cap","Information Technology","$12,360,829,513","0.00%","0.00","0.00","0.00","Analyze"
"PARA","Paramount Global - Class B","Common stocks","Large cap","Communication Services","$12,238,964,874","5.06%","0.00","0.00","0.00","Analyze"
"SNA","Snap On Inc","Common stocks","Large cap","Industrials","$12,228,224,702","2.53%","0.00","0.00","0.00","Analyze"
"UDR","UDR, Inc","REITs","Large cap","Real Estate","$12,126,431,305","3.94%","0.00","0.00","0.00","Analyze"
"CE","Celanese Corporation","Common stocks","Large cap","Materials","$12,020,335,951","2.45%","0.00","0.00","0.00","Analyze"
"PKG","Packaging Corp Of America","Common stocks","Large cap","Materials","$12,018,378,262","3.61%","0.00","0.00","0.00","Analyze"
"DPZ","Dominos Pizza Inc","Common stocks","Large cap","Consumer Discretionary","$11,994,371,587","1.29%","0.00","0.00","0.00","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$11,870,509,505","0.00%","0.00","0.00","0.00","Analyze"
"TFX","Teleflex Inc","Common stocks","Large cap","Health Care","$11,867,328,055","0.54%","0.00","0.00","0.00","Analyze"
"POOL","Pool Corp","Common stocks","Large cap","Consumer Discretionary","$11,832,337,254","1.25%","0.00","0.00","0.00","Analyze"
"WDC","Western Digital Corp","Common stocks","Large cap","Information Technology","$11,807,061,465","0.00%","0.00","0.00","0.00","Analyze"
"EQT","EQT Corporation","Common stocks","Large cap","Energy","$11,774,835,840","1.71%","0.00","0.00","0.00","Analyze"
"GL","Globe Life Inc.","Common stocks","Large cap","Financials","$11,690,908,824","0.69%","0.00","0.00","0.00","Analyze"
"CPT","Camden Property Trust","REITs","Large cap","Real Estate","$11,682,929,598","3.39%","0.00","0.00","0.00","Analyze"
"SWK","Stanley Black & Decker Inc","Common stocks","Large cap","Industrials","$11,634,142,051","3.99%","0.00","0.00","0.00","Analyze"
"VFC","VF Corp","Common stocks","Large cap","Consumer Discretionary","$11,478,242,151","6.66%","0.00","0.00","0.00","Analyze"
"HST","Host Hotels & Resorts, Inc","REITs","Large cap","Real Estate","$11,290,288,346","2.07%","0.00","0.00","0.00","Analyze"
"MKTX","Marketaxess Holdings Inc","Common stocks","Large cap","Financials","$11,224,429,723","0.94%","0.00","0.00","0.00","Analyze"
"CRL","Charles River Laboratories International","Common stocks","Large cap","Health Care","$11,197,374,612","0.00%","0.00","0.00","0.00","Analyze"
"STX","Seagate Technology Plc","Common stocks","Large cap","Information Technology","$11,166,572,400","5.14%","0.00","0.00","0.00","Analyze"
"NI","Nisource Inc","Common stocks","Large cap","Utilities","$11,018,424,698","3.42%","0.00","0.00","0.00","Analyze"
"UHS","Universal Health Services Inc.","Common stocks","Large cap","Health Care","$10,870,378,440","0.54%","0.00","0.00","0.00","Analyze"
"PHM","Pultegroup Inc","Common stocks","Large cap","Consumer Discretionary","$10,860,166,243","1.27%","0.00","0.00","0.00","Analyze"
"MAS","Masco Corp","Common stocks","Large cap","Industrials","$10,856,971,981","2.31%","0.00","0.00","0.00","Analyze"
"HSIC","Henry Schein Inc","Common stocks","Large cap","Health Care","$10,847,872,427","0.00%","0.00","0.00","0.00","Analyze"
